#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 05 17 21 50 164  4.9  6.4  0.97  6.25  6.89 165 1013.9  21.8 999.0  21.7 99.0 99.00
2012 05 17 22 50 165 11.4 15.5  1.01  6.25  6.52 163 1011.6  21.3 999.0  21.2 99.0 99.00
2012 05 17 23 50 223 12.7 14.8  1.22  5.88  6.62 175 1011.8  21.4 999.0  21.1 99.0 99.00
2012 05 18 00 50 199 10.2 11.7  1.30  6.25  6.62 164 1012.5  21.5 999.0  21.1 99.0 99.00
2012 05 18 01 50 206  8.7  9.7  1.20  5.88  6.68 162 1013.1  21.6 999.0  21.5 99.0 99.00
2012 05 18 02 50 212  8.6  9.3  1.12  6.67  6.67 168 1012.9  21.8 999.0  21.7 99.0 99.00
2012 05 18 03 50 209  7.9 10.0  0.97  6.25  7.24 171 1012.7  22.1 999.0  21.6 99.0 99.00
2012 05 18 04 50 209 10.1 10.9  1.07  6.25  7.29 172 1012.4  22.0 999.0  21.8 99.0 99.00
2012 05 18 05 50 218 10.7 11.7  0.87  6.25  7.31 167 1012.1  22.1 999.0  21.9 99.0 99.00
2012 05 18 06 50 244  5.0  8.3  1.01  6.25  7.16 169 1011.7  21.9 999.0  20.7 99.0 99.00
2012 05 18 07 50 241  5.6  9.3  0.97  8.33  7.22 154 1012.0  21.7 999.0  20.8 99.0 99.00
2012 05 18 08 50 237  4.2  7.1  0.97  9.09  7.46 140 1012.1  21.8 999.0  21.1 99.0 99.00
2012 05 18 09 50 251  2.6  5.2  0.91  8.33  7.21 147 1012.6  22.2 999.0  20.9 99.0 99.00
2012 05 18 10 50 218  4.0  5.3  0.88 10.00  8.10 135 1013.1  22.4 999.0  20.4 99.0 99.00
2012 05 18 11 50 222  2.1  4.4  1.06 10.81  8.07  82 1013.0  22.4 999.0  20.6 99.0 99.00
2012 05 18 12 50  54  1.2  2.1 99.00 99.00 99.00 999 1013.2  22.9  23.5  20.9 99.0 99.00
2012 05 18 13 50  84  3.8  4.6 99.00 99.00 99.00 999 1013.6  22.3  23.2  20.8 99.0 99.00
2012 05 18 14 50 116  5.8  7.1  1.18  7.14  5.90 118 1013.5  22.3  23.0  20.8 99.0 99.00
2012 05 18 15 50  97  7.4  8.7  1.22  7.69  5.68 127 1013.0  22.0 999.0  20.7 99.0 99.00
2012 05 18 16 50  72  2.1  3.3  1.24  8.33  5.50 106 1013.7  21.8 999.0  20.9 99.0 99.00
2012 05 18 17 50  60  2.2  2.8  1.37  7.14  5.80 118 1013.0  22.0 999.0  20.8 99.0 99.00
2012 05 18 18 50  80  0.7  1.5  1.39  7.69  5.86 117 1012.9  22.3  23.2  20.5 99.0 99.00
2012 05 18 19 50 326  1.1  1.6  1.39  8.33  5.80 105 1012.4  22.7  23.8  20.5 99.0 99.00
2012 05 18 20 50 340  1.5  2.4  1.23  7.69  5.60 111 1012.5  22.8  24.0  20.4 99.0 99.00
2012 05 18 21 50  21  2.1  2.9  1.16  8.33  5.76 107 1012.4  22.7  23.9  20.6 99.0 99.00
2012 05 18 22 50  31  3.2  3.9  1.20  8.33  5.90 100 1012.5  22.8  23.3  20.7 99.0 99.00
2012 05 18 23 50  36  2.7  3.4  1.23  7.69  6.11 104 1012.8  22.5  23.1  21.1 99.0 99.00
