wind_direction,wind_speed,pressure,wave_height,visibility,sea_surface_temp,ship_speed
240,2.32,1006.0,7.0,97,2.8,18.0
220,2.06,1012.2,3.0,97,2.27,23.0
250,2.1100000000000003,994.9,5.0,96,1.16,18.0
320,2.42,1019.0,2.0,98,1.7600000000000002,13.0
290,2.37,1013.7,9.0,97,1.9,3.0
270,1.75,1004.1,2.0,98,1.7,13.0
30,1.95,1016.2,2.5,97,2.58,8.0
160,2.32,999.1,3.5,96,0.6799999999999999,13.0
90,0.05,1032.1,0.0,96,1.6,13.0
260,0.05,1004.8,0.0,98,3.0,13.0
350,0.2,1013.0,0.0,98,2.8899999999999997,18.0
330,1.59,1024.0,1.0,97,1.8,8.0
220,2.1100000000000003,1007.1,3.5,98,2.4,8.0
40,2.0100000000000002,1014.3,2.5,98,2.7,13.0
130,0.05,1010.1,0.0,98,2.7,13.0
60,1.75,1019.4,2.5,97,2.65,13.0
50,1.75,1017.4,3.0,98,2.63,13.0
110,1.95,1013.2,2.5,97,1.4,18.0
300,1.95,993.9,3.0,98,0.04,0.0
290,2.52,1008.2,5.5,97,-0.01,0.0
210,0.05,993.0,0.5,98,0.6,0.0
290,2.06,998.9,2.5,98,0.43,0.0
360,1.59,1002.2,2.0,98,0.02,0.0
10,2.21,1004.6,3.5,96,0.01,0.0
260,2.2600000000000002,998.0,5.0,96,-0.02,0.0
180,1.75,1003.0,4.0,97,1.1,13.0
250,1.9,1011.5,2.0,98,0.8699999999999999,0.0
120,2.16,994.3,4.5,97,0.7,8.0
220,2.98,1006.7,4.5,96,1.7,8.0
360,1.9,994.0,4.0,95,0.5,18.0
250,1.95,1010.0,2.0,97,2.5,13.0
90,0.4,1025.0,1.0,97,1.9600000000000002,13.0
260,1.85,993.8,5.0,97,0.8,13.0
200,0.8,1022.0,1.5,98,2.4,0.0
240,0.2,1014.2,0.0,98,2.6,18.0
20,1.75,1012.9,2.0,97,1.95,33.0
40,0.8,1012.8,0.5,98,2.7399999999999998,18.0
70,1.75,1023.0,3.5,96,2.3,8.0
20,2.2600000000000002,1008.6,4.0,97,2.17,8.0
120,0.8,1014.3,2.0,98,2.2,13.0
210,1.5,1004.2,3.0,97,2.7,13.0
120,0.05,1008.0,0.0,98,3.0,18.0
270,1.59,1004.1,3.5,97,1.33,18.0
180,0.8,1022.9,1.0,98,1.7,18.0
150,0.3,1014.7,0.5,98,1.8,18.0
50,1.59,1020.0,2.0,97,2.2,3.0
130,0.9,1021.4,2.0,98,2.38,18.0
270,1.95,1006.5,3.0,98,1.65,18.0
20,0.3,1025.9,0.5,98,1.6,13.0
180,1.1,1015.6,1.5,98,1.2,13.0
120,0.9,1029.1,1.5,97,2.2,13.0
170,2.32,1008.3,5.0,97,2.3,18.0
110,1.1,1016.8,2.0,98,2.4,8.0
340,1.85,1020.9,5.0,97,1.5,18.0
30,1.59,1009.0,4.0,97,1.9,13.0
40,1.59,1017.0,4.0,97,2.6,13.0
30,1.85,1017.1,6.0,97,2.5,13.0
20,0.5,1011.0,1.0,97,2.84,18.0
180,0.6,1011.6,1.0,98,2.85,13.0
110,1.0,1023.4,1.0,98,2.5,13.0
360,1.2,1028.2,4.0,97,1.7,13.0
360,1.85,997.0,4.0,95,0.3,13.0
320,1.59,1022.4,1.0,98,1.9,18.0
210,2.16,1014.5,4.0,97,1.0,13.0
240,1.59,1020.0,3.0,97,1.1,13.0
240,1.59,1020.0,3.0,97,1.1,13.0
220,1.59,1019.0,1.5,97,1.2,0.0
40,1.59,1014.3,1.0,94,0.71,0.0
160,2.1100000000000003,1011.5,3.0,98,0.5,0.0
50,1.95,1017.4,2.0,98,2.8,18.0
310,1.85,1020.2,2.0,98,1.2,23.0
180,0.4,1022.2,0.5,98,1.5,13.0
320,1.4,1035.1,2.0,98,1.7600000000000002,18.0
50,1.9,1016.0,5.0,97,1.4,13.0
290,1.59,1006.5,3.0,97,1.6,18.0
160,1.95,998.0,4.0,96,1.0,23.0
130,1.75,1016.5,1.5,97,-0.02,0.0
280,1.59,1016.5,1.5,91,0.11000000000000001,0.0
260,2.37,1015.8,3.5,90,-0.03,0.0
100,2.32,1000.9,4.5,96,-0.02,0.0
290,2.2600000000000002,1014.2,4.0,97,-0.06,0.0
250,1.95,1019.5,3.0,98,-0.03,0.0
200,2.57,994.0,2.0,91,-0.02,0.0
340,2.06,1004.5,2.0,97,-0.01,0.0
190,2.37,1027.5,2.0,97,-0.02,0.0
250,1.75,1007.3,5.0,97,2.84,18.0
40,2.62,1012.1,3.0,98,2.8,13.0
300,1.85,998.5,3.0,98,0.2,18.0
300,1.85,1029.5,2.5,98,1.8,13.0
140,1.9,994.9,2.0,98,0.72,8.0
30,1.59,1007.7,2.5,97,1.61,13.0
310,1.9,1016.9,2.0,98,2.29,8.0
50,1.3,1015.0,1.0,97,3.1,0.0
180,1.59,1009.0,2.5,98,1.6,18.0
