wind_direction_true,wind_speed,sea_level_pressure,wave_height,visibility,sea_surface_temp,ship_speed
240,23.2,1006.0,7.0,97,28.0,4
220,20.6,1012.2,3.0,97,22.7,5
250,21.1,994.9,5.0,96,11.6,4
320,24.2,1019.0,2.0,98,17.6,3
290,23.7,1013.7,9.0,97,19.0,1
270,17.5,1004.1,2.0,98,17.0,3
30,19.5,1016.2,2.5,97,25.8,2
160,23.2,999.1,3.5,96,6.8,3
90,0.5,1032.1,0.0,96,16.0,3
260,0.5,1004.8,0.0,98,30.0,3
350,2.0,1013.0,0.0,98,28.9,4
330,15.9,1024.0,1.0,97,18.0,2
220,21.1,1007.1,3.5,98,24.0,2
40,20.1,1014.3,2.5,98,27.0,3
130,0.5,1010.1,0.0,98,27.0,3
60,17.5,1019.4,2.5,97,26.5,3
50,17.5,1017.4,3.0,98,26.3,3
110,19.5,1013.2,2.5,97,14.0,4
300,19.5,993.9,3.0,98,0.4,0
290,25.2,1008.2,5.5,97,-0.1,0
210,0.5,993.0,0.5,98,6.0,0
290,20.6,998.9,2.5,98,4.3,0
360,15.9,1002.2,2.0,98,0.2,0
10,22.1,1004.6,3.5,96,0.1,0
260,22.6,998.0,5.0,96,-0.2,0
180,17.5,1003.0,4.0,97,11.0,3
250,19.0,1011.5,2.0,98,8.7,0
120,21.6,994.3,4.5,97,7.0,2
220,29.8,1006.7,4.5,96,17.0,2
360,19.0,994.0,4.0,95,5.0,4
250,19.5,1010.0,2.0,97,25.0,3
90,4.0,1025.0,1.0,97,19.6,3
260,18.5,993.8,5.0,97,8.0,3
200,8.0,1022.0,1.5,98,24.0,0
240,2.0,1014.2,0.0,98,26.0,4
20,17.5,1012.9,2.0,97,19.5,7
40,8.0,1012.8,0.5,98,27.4,4
70,17.5,1023.0,3.5,96,23.0,2
20,22.6,1008.6,4.0,97,21.7,2
120,8.0,1014.3,2.0,98,22.0,3
210,15.0,1004.2,3.0,97,27.0,3
120,0.5,1008.0,0.0,98,30.0,4
270,15.9,1004.1,3.5,97,13.3,4
180,8.0,1022.9,1.0,98,17.0,4
150,3.0,1014.7,0.5,98,18.0,4
50,15.9,1020.0,2.0,97,22.0,1
130,9.0,1021.4,2.0,98,23.8,4
270,19.5,1006.5,3.0,98,16.5,4
20,3.0,1025.9,0.5,98,16.0,3
180,11.0,1015.6,1.5,98,12.0,3
120,9.0,1029.1,1.5,97,22.0,3
170,23.2,1008.3,5.0,97,23.0,4
110,11.0,1016.8,2.0,98,24.0,2
340,18.5,1020.9,5.0,97,15.0,4
30,15.9,1009.0,4.0,97,19.0,3
40,15.9,1017.0,4.0,97,26.0,3
30,18.5,1017.1,6.0,97,25.0,3
20,5.0,1011.0,1.0,97,28.4,4
180,6.0,1011.6,1.0,98,28.5,3
110,10.0,1023.4,1.0,98,25.0,3
360,12.0,1028.2,4.0,97,17.0,3
360,18.5,997.0,4.0,95,3.0,3
320,15.9,1022.4,1.0,98,19.0,4
210,21.6,1014.5,4.0,97,10.0,3
240,15.9,1020.0,3.0,97,11.0,3
240,15.9,1020.0,3.0,97,11.0,3
220,15.9,1019.0,1.5,97,12.0,0
40,15.9,1014.3,1.0,94,7.1,0
160,21.1,1011.5,3.0,98,5.0,0
50,19.5,1017.4,2.0,98,28.0,4
310,18.5,1020.2,2.0,98,12.0,5
180,4.0,1022.2,0.5,98,15.0,3
320,14.0,1035.1,2.0,98,17.6,4
50,19.0,1016.0,5.0,97,14.0,3
290,15.9,1006.5,3.0,97,16.0,4
160,19.5,998.0,4.0,96,10.0,5
130,17.5,1016.5,1.5,97,-0.2,0
280,15.9,1016.5,1.5,91,1.1,0
260,23.7,1015.8,3.5,90,-0.3,0
100,23.2,1000.9,4.5,96,-0.2,0
290,22.6,1014.2,4.0,97,-0.6,0
250,19.5,1019.5,3.0,98,-0.3,0
200,25.7,994.0,2.0,91,-0.2,0
340,20.6,1004.5,2.0,97,-0.1,0
190,23.7,1027.5,2.0,97,-0.2,0
250,17.5,1007.3,5.0,97,28.4,4
40,26.2,1012.1,3.0,98,28.0,3
300,18.5,998.5,3.0,98,2.0,4
300,18.5,1029.5,2.5,98,18.0,3
140,19.0,994.9,2.0,98,7.2,2
30,15.9,1007.7,2.5,97,16.1,3
310,19.0,1016.9,2.0,98,22.9,2
50,13.0,1015.0,1.0,97,31.0,0
180,15.9,1009.0,2.5,98,16.0,4
50,18.5,1009.7,2.0,95,15.0,3
320,19.0,1010.0,4.0,98,10.0,2
320,19.0,1010.0,4.0,98,10.0,2
180,19.0,1020.0,3.0,95,26.0,4
350,15.9,1017.3,3.0,98,12.0,4
120,7.0,1015.7,2.5,97,25.6,4
210,5.0,1019.6,1.0,98,13.2,3
360,2.0,1013.7,0.0,98,30.8,3
140,20.6,1021.0,3.0,98,8.0,5
310,20.6,1011.0,3.0,97,2.0,4
280,20.6,1003.2,4.5,97,23.0,4
290,23.7,1007.4,4.0,98,15.0,3
350,19.5,996.0,3.5,98,4.1,4
220,19.0,1006.5,2.5,97,23.0,3
150,3.0,1012.4,0.5,98,33.0,3
10,0.5,1012.7,0.0,98,28.3,3
110,6.0,1020.4,5.0,97,7.5,2
10,29.3,1013.0,3.5,96,9.4,4
210,15.9,1006.6,2.0,98,28.5,4
140,0.5,1020.0,0.0,98,19.0,4
270,19.0,1016.0,4.0,98,22.0,3
290,21.6,1012.5,2.0,98,14.0,3
180,4.0,1010.6,0.5,98,30.0,3
200,15.9,1013.0,5.0,97,19.0,3
330,18.5,1019.1,4.0,97,13.8,4
270,15.9,1002.0,6.0,97,11.0,3
240,20.6,999.2,4.0,97,8.0,4
200,17.5,1011.1,2.5,96,8.0,3
60,18.5,1014.4,2.5,98,27.5,3
350,20.6,1015.7,3.0,97,21.0,3
10,7.0,1012.9,0.5,98,31.0,4
260,10.0,1009.0,2.0,98,28.5,4
220,8.0,1023.5,0.5,98,23.5,3
50,19.0,1015.0,3.0,97,27.0,3
40,6.0,1025.3,0.5,96,8.7,4
60,21.1,1021.3,2.0,98,16.0,3
240,20.6,1000.0,4.0,96,15.0,3
80,0.5,1028.0,1.5,98,3.9,4
240,18.5,1029.6,1.5,90,6.8,0
230,29.8,1008.0,4.0,93,-0.3,0
70,10.0,1015.8,1.0,96,24.0,4
270,10.0,1008.0,0.5,97,30.0,3
40,23.2,1025.0,5.0,97,15.0,3
220,30.4,1009.9,4.5,98,7.0,3
270,6.0,1011.2,1.5,97,29.0,3
140,20.6,977.0,4.0,97,12.0,3
110,28.3,983.4,4.5,95,5.6,2
350,17.5,1013.7,2.0,98,21.0,3
120,15.9,1013.8,2.0,97,27.1,4
200,23.2,1013.1,4.0,97,22.0,4
230,6.0,1021.5,1.0,98,15.2,5
330,22.1,1011.7,7.0,97,22.0,2
200,17.5,1006.0,5.0,96,18.0,4
240,15.9,992.3,2.0,97,5.0,0
300,15.9,1003.3,1.5,92,-1.0,2
70,20.1,1011.8,1.5,97,21.6,0
140,19.0,1014.0,5.0,99,22.0,4
130,16.0,1011.7,5.0,96,21.0,2
360,3.0,1006.4,0.0,94,22.7,0
230,18.5,989.0,4.0,98,7.0,4
180,5.0,1016.0,0.5,98,26.6,3
260,14.0,1019.5,4.0,97,10.5,4
230,15.9,1007.0,3.0,98,28.0,4
150,5.0,1015.6,0.5,90,7.1,0
200,34.5,988.3,3.5,91,-0.3,0
310,2.0,1008.8,1.0,99,28.0,4
90,5.0,1016.4,0.5,98,29.3,0
230,8.0,1016.9,1.0,98,18.4,2
130,4.0,1021.8,0.5,97,21.9,1
70,6.0,1013.7,1.0,98,26.6,1
350,4.0,1012.6,0.5,97,26.5,1
190,2.0,1023.4,0.0,98,26.0,2
170,7.0,1013.8,0.5,97,16.5,2
140,8.0,1015.1,0.5,98,21.6,2
70,7.0,1020.0,0.5,98,28.0,3
